-0.025, -0.049, 0.618
-0.025, -0.049, 0.618
1.064, 0.027, 0.600
0.623, 0.158, 0.098
0.314, -0.024, -0.217
-0.241, 0.210, -0.349
-0.383, 0.245, -0.237
-0.156, 0.034, -0.034
-0.048, 0.002, 0.271
-0.174, 0.063, 0.344
-0.206, 0.076, 0.341
-0.228, 0.109, 0.324
-0.002, 0.049, 0.444
-0.002, 0.049, 0.444
0.058, 0.041, 0.447
-0.003, 0.016, 0.400
0.043, -0.003, 0.271
0.055, -0.070, 0.146
0.033, 0.032, 0.102
0.035, 0.066, -0.044
0.061, 0.124, 0.008
0.112, 0.179, 0.008
0.176, 0.174, 0.001
0.184, 0.188, -0.075
0.154, 0.078, -0.299
0.108, 0.106, -0.272
0.107, 0.057, -0.050
0.127, -0.007, -0.060
0.110, -0.053, -0.015
0.097, -0.053, 0.026
-0.005, -0.035, 0.123
-0.072, -0.043, 0.169
-0.072, -0.043, 0.169
-0.086, 0.034, 0.143
-0.057, 0.096, 0.145
-0.015, 0.153, 0.083
-0.021, 0.119, 0.027
-0.089, 0.120, 0.018
-0.075, 0.100, 0.015
-0.079, 0.048, 0.020
-0.071, 0.021, -0.022
0.048, -0.051, 0.030
0.085, -0.011, 0.098
0.128, -0.002, 0.088
0.115, 0.119, 0.164
0.118, 0.219, 0.242
0.227, 0.237, 0.245
0.189, 0.258, 0.252
0.159, 0.227, 0.142
0.180, 0.149, 0.054
-0.099, 0.032, 0.043
-0.096, 0.039, 0.107
-0.064, 0.108, 0.187
0.008, 0.135, 0.217
0.128, 0.050, 0.326
0.019, -0.313, 0.070
0.066, -0.155, -0.032
-0.125, -0.019, -0.172
-0.050, -0.066, -0.190
-0.152, -0.029, -0.076
0.168, -0.239, 0.134
-0.069, 0.044, -0.122
-0.024, -0.006, -0.032
-0.017, -0.008, -0.038
0.022, 0.013, -0.006
0.012, 0.029, 0.014
0.062, 0.112, 0.008
0.082, 0.137, 0.015
0.152, 0.198, 0.042
0.133, 0.202, 0.073
0.151, 0.205, 0.150
0.159, 0.121, 0.244
0.212, 0.100, 0.300
0.267, 0.113, 0.254
0.235, 0.187, 0.139
0.356, 0.299, 0.131
0.405, 0.281, 0.112
0.452, 0.247, 0.088
0.467, 0.232, -0.088
